鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
信義區,房地(土地+建物)+車位,基隆市信義區孝東路121~150號,23.93,住,,,1070713,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,202.92000000000002,3,2,2,有,有,9380000,50192,坡道平面,35.96,1000000,,RPUOMLPKIINFFBC08CA
信義區,房地(土地+建物)+車位,基隆市信義區孝東路121~150號,19.09,住,,,1070804,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,176.86,3,2,2,有,有,9100000,57133,坡道平面,35.96,1050000,,RPVOMLPKIINFFBC18CA
信義區,房地(土地+建物)+車位,基隆市信義區孝東路121~150號,19.09,住,,,1070823,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,174.68,3,2,2,有,有,9100000,56949,坡道平面,35.96,1200000,,RPWOMLPKIINFFBC28CA
信義區,房地(土地+建物)+車位,基隆市信義區孝東路91~120號,14.24,住,,,1070729,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,138.17000000000002,2,2,1,有,有,7200000,58703,坡道平面,35.96,1200000,,RPXOMLPKIINFFBC38CA
信義區,房地(土地+建物)+車位,基隆市信義區孝東路91~120號,14.24,住,,,1070821,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,138.88,2,2,1,有,有,7300000,59269,坡道平面,35.96,1200000,,RPOPMLPKIINFFBC57CA
信義區,房地(土地+建物)+車位,基隆市信義區孝東路91~120號,14.24,住,,,1070811,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,138.88,2,2,1,有,有,7380000,60047,坡道平面,35.96,1200000,,RPPPMLPKIINFFBC67CA
信義區,房地(土地+建物)+車位,基隆市信義區孝東路121~150號,23.64,住,,,1070718,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,201.32,3,2,2,有,有,11000000,60172,坡道平面,35.96,1050000,,RPUQMLPKIINFFBC28CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區源遠路226巷1~30號,15.55,住,,,1070830,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020329,117.3,2,2,1,有,有,6150000,52430,坡道平面,36.95,0,,RPPNMLPKIINFFCC57CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路135巷5弄31~60號,28.43,住,,,1070826,土地5建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840304,156.28,3,2,2,有,有,7000000,44791,坡道平面,0.0,0,,RPRNMLPKIINFFCC77CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路210巷1弄1~30號,41.71,住,,,1061015,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830509,201.76,4,2,2,有,無,6900000,34199,坡道平面,0.0,0,,RPTNMLQKIINFFCC08CA
