鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
水里鄉,房地(土地+建物),南投縣水里鄉水信路一段601~630號,90.56,,山坡地保育區,丙種建築用地,1070826,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0701230,142.83,3,3,3,有,無,1200000,8402,,0.0,0,"屋況老舊失修,買方自行修繕,賣方不負瑕疵擔保責任.",RPPNMLPKIINFFEM78CA
水里鄉,土地,北埔段211~240地號,100.84,住,,,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2130000,21123,,0.0,0,,RPPNMLMKIINFFEM48CA
鹿谷鄉,土地,彰雅段751~780地號,259.49,住,,,1070926,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4085000,15742,,0.0,0,,RPQNMLPLIINFFDM88CA
竹山鎮,土地,延正段601~630地號,2815.42,,一般農業區,農牧用地,1061226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,1989,,0.0,0,權利人等2人,RPPNMLQKIINFFDM78CA
竹山鎮,土地,大坑段大坑小段31~60地號,3251.0,,山坡地保育區,農牧用地,1070927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3700000,1138,,0.0,0,,RPRNMLSJIINFFDM09CA
竹山鎮,土地,中正段661~690地號,396.0,商,,,1070926,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7187400,18150,,0.0,0,,RPPNMLTJIINFFDM98CA
竹山鎮,房地(土地+建物),南投縣竹山鎮中正巷91~120號,120.75,住,,,1070920,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670630,106.24,3,2,2,有,無,1200000,11295,,0.0,0,,RPRNMLTJIINFFDM56CA
仁愛鄉,土地,春陽段421~450地號,94.29,,森林區,丙種建築用地,1070921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,162858,1727,,0.0,0,,RPPNMLTLIINFFCM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮開南路1~30號,106.63,住,,,1070906,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060810,193.61,4,2,4,有,無,12300000,63530,,0.0,0,,RPVNMLLJJINFFCM78CA
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路48巷1~30號,41.8,住,,,1070915,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041016,200.43,2,2,1,有,有,6380000,31832,一樓平面,0.0,0,,RPXNMLMLIINFFBM09CA
