編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLMJIINFFBM08CA,50,70.40,住商用,鋼筋混凝土加強磚造,57年5月30日,二層,一層 二層
RPTNMLPJIINFFAM68CA,3,274.28,見其他登記事項,鋼筋混凝土造,104年9月18日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLPJIINFFAM28CA,38,117.40,住商用,鋼筋混凝土加強磚造,69年5月27日,二層,一層 二層 騎樓
RPTNMLQLIINFFAM98CA,37,94.28,住家用,鋼筋混凝土加強磚造,70年11月11日,二層,一層 二層 騎樓
RPQNMLPJIINFFAM38CA,25,150.96,住家用,鋼筋混凝土造,82年3月27日,三層,一層 二層 三層 屋頂突出物
RPPNMLLLIINFFCM28CA,16,11.91,見其他登記事項,鋼筋混凝土造,91年8月14日,二層,一層 二層
RPQNMLQJIINFFAM48CA,3,239.35,見其他登記事項,鋼筋混凝土造,104年11月23日,四層,一層 二層 三層 四層
RPUNMLSKIINFFAM56CA,,99.22,見其他登記事項,鋼筋混凝土造,107年5月1日,五層,四層
RPUNMLSKIINFFAM56CA,,19.16,見其他登記事項,鋼筋混凝土造,107年5月1日,五層,
RPUNMLSKIINFFAM56CA,,22.89,見其他登記事項,鋼筋混凝土造,107年5月1日,一層,
RPTNMLSKIINFFAM09CA,1,167.16,見其他登記事項,鋼筋混凝土造,106年5月19日,三層,一層 二層 三層
RPTNMLOLIINFFAM78CA,24,93.18,住家用,鋼筋混凝土造,83年11月9日,十六層,十五層
RPTNMLOLIINFFAM78CA,24,14.11,見其他登記事項,鋼筋混凝土造,83年11月9日,十六層,
RPPNMLOJIINFFDM48CA,1,180.08,住家用,鋼筋混凝土造,107年1月31日,三層,一層 二層 三層
RPQNMLOJIINFFDM58CA,23,26.37,見其他登記事項,鋼筋混凝土造,85年3月9日,五層,二層
RPQNMLOJIINFFDM58CA,23,6.47,見其他登記事項,鋼筋混凝土造,85年3月9日,七層,
RPQNMLOJIINFFDM58CA,23,6.09,見其他登記事項,鋼筋混凝土造,85年3月9日,五層,
RPRNMLPJIINFFEM88CA,23,134.20,住家用,見其他登記事項,84年4月8日,三層,一層 二層 三層 屋頂突出物
RPPNMLSJIINFFEM98CA,39,151.50,住商用,鋼筋混凝土加強磚造,69年1月4日,三層,一層 二層 三層 騎樓
RPRNMLOJIINFFDM68CA,23,21.02,住家用,鋼筋混凝土造,85年3月1日,四層,地下二層
RPRNMLOJIINFFDM68CA,23,10.43,見其他登記事項,鋼筋混凝土造,85年3月1日,四層,
RPPNMLTKIINFFEM56CA,15,157.02,住家用,鋼筋混凝土造,93年1月9日,三層,一層 二層 三層
RPUNMLQLIINFFCM66CA,,147.96,住家用,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層
RPPNMLRKIINFFAM68DA,23,281.55,住家用,鋼筋混凝土造,84年7月26日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLPJIINFFBM38CA,32,115.16,住家用,鋼筋混凝土加強磚造,75年7月16日,二層,一層 二層
RPPNMLOJIINFFEM58CA,58,68.62,住家用,磚造,49年6月1日,一層,一層
RPQNMLNLIINFFAM38CA,33,72.65,住家用,鋼筋混凝土造,74年8月29日,二層,一層 二層
RPPNMLQKIINFFCM68CA,30,305.80,住商用,鋼筋混凝土造,77年11月29日,四層,一層 二層 三層 四層 騎樓
RPQNMLSJIINFFCM98DA,43,48.36,住家用,鋼筋混凝土加強磚造,64年12月8日,一層,一層
RPRNMLSKIINFFBM98CA,23,177.85,住家用,鋼筋混凝土造,84年4月20日,四層,一層 二層 三層 四層
RPPNMLTJIINFFCM88CA,24,37.54,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,十二層
RPPNMLTJIINFFCM88CA,24,19.90,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,
