鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新竹市,房地(土地+建物)+車位,新竹市新竹市香山區牛埔東路241~270號,9.68,其他,,,1070830,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850926,120.44,2,2,1,有,有,4800000,41819,坡道機械,16.42,450000,,RPQSMLNLIINFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市公道五路二段61~90號,221.28,工,,,1070628,土地1建物1車位9,四層,七層,工廠,見其他登記事項,鋼筋混凝土造,0890331,969.15,0,0,0,無,有,38550000,,坡道平面,0.0,0,,RPPQMLSKIINFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市民權路241~270號,25.87,住,,,1070904,土地1建物1車位1,十層,十一層,辦公商業大樓,辦公室,鋼筋混凝土造,0890501,753.09,0,0,0,無,有,43664000,57980,坡道平面,51.22,0,,RPOQMLTKIINFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市中清路一段211~240號,78.59,住,,,1070803,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030225,216.1,4,3,4,有,無,12400000,57381,,0.0,0,,RPUOMLSKIINFFAO86CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路61~90號,13.25,商,,,1070910,土地1建物1車位1,二十四層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050127,183.05,3,2,2,有,有,15150000,82764,坡道平面,25.0,0,,RPOQMLRKIINFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市延平路一段113巷1~30號,75.0,住,,,1070907,土地1建物2車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,,87.42,4,4,2,有,無,8750000,100092,,0.0,0,,RPTNMLSKIINFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市中山路640巷1~30號,7.31,住,,,1070920,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800708,59.58,1,1,1,有,有,2000000,33568,,0.0,0,,RPTOMLRKIINFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市經國路二段151~180號,6.61,商,,,1070911,土地1建物1車位1,十一層,十一層,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0971108,61.3,1,1,1,有,有,3960000,64600,坡道機械,13.32,0,,RPVOMLNKIINFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市世傑路271~300號,31.72,住,,,1070904,土地1建物1車位2,十九層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040810,270.03999999999996,4,2,2,有,有,22100000,81840,坡道平面,60.87,0,,RPRPMLMKIINFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市湳中街30巷1~30號,81.12,住,,,1070824,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060522,273.48,4,2,6,有,有,25000000,91414,,0.0,0,,RPUOMLLKIINFFAO78CA
