鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
苓雅區,房地(土地+建物)+車位,高雄市苓雅區青年一路91~120號,24.42,商,,,1070901,土地3建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061228,190.96,2,2,2,有,有,18000000,94261,坡道平面,17.67,0,本戶為裝潢實品屋,RPXNMLQKIINFFBE58CA
前鎮區,房地(土地+建物),高雄市前鎮區新衙路271~300號,102.04,工,,,1070901,土地3建物1車位0,二層,八層,廠辦,工業用,鋼筋混凝土造,0791213,562.43,0,0,0,無,有,12420152,22083,,0.0,0,地下一層有2車位，無獨立權狀,RPQOMLLJIINFFCE47CA
前鎮區,房地(土地+建物),高雄市前鎮區新衙路271~300號,154.1,工,,,1070901,土地3建物1車位0,四層,八層,廠辦,工業用,鋼筋混凝土造,0791213,855.1600000000001,0,0,0,無,有,18884244,22083,,0.0,0,地下一層有平面式3車位，無獨立權狀,SPQOMLLJIINFFCE57CA
前鎮區,房地(土地+建物),高雄市前鎮區新衙路271~300號,102.28,工,,,1070901,土地3建物1車位0,四層,八層,廠辦,工業用,鋼筋混凝土造,0791213,565.21,0,0,0,無,有,12480742,22082,,0.0,0,地下一層有2車位，無獨立權狀,TPQOMLLJIINFFCE67CA
前鎮區,房地(土地+建物),高雄市前鎮區新衙路271~300號,209.58,工,,,1070901,土地3建物1車位0,二層,八層,廠辦,工業用,鋼筋混凝土造,0791213,1156.1599999999999,0,0,0,無,有,25530880,22082,,0.0,0,地下一層有3車位，無獨立權狀,UPQOMLLJIINFFCE77CA
前鎮區,房地(土地+建物),高雄市前鎮區新衙路271~300號,102.28,工,,,1070901,土地3建物1車位0,二層,八層,廠辦,工業用,鋼筋混凝土造,0791213,562.43,0,0,0,無,有,12420152,22083,,0.0,0,地下一層有2車位，無獨立權狀,VPQOMLLJIINFFCE87CA
前鎮區,房地(土地+建物),高雄市前鎮區新衙路271~300號,135.16,工,,,1070901,土地3建物1車位0,四層,八層,廠辦,工業用,鋼筋混凝土造,0791213,744.48,0,0,0,無,有,16439510,22082,,0.0,0,地下一層有2車位，無獨立權狀,WPQOMLLJIINFFCE97CA
前鎮區,房地(土地+建物),高雄市前鎮區新衙路271~300號,107.3,工,,,1070901,土地3建物1車位0,四層,八層,廠辦,工業用,鋼筋混凝土造,0791213,595.2,0,0,0,無,有,13143578,22083,,0.0,0,地下一層有2車位，無獨立權狀,XPQOMLLJIINFFCE08CA
前鎮區,房地(土地+建物),高雄市前鎮區新衙路271~300號,102.28,工,,,1070901,土地3建物1車位0,四層,八層,廠辦,工業用,鋼筋混凝土造,0791213,565.21,0,0,0,無,有,12480742,22082,,0.0,0,地下一層有2車位，無獨立權狀,YPQOMLLJIINFFCE18CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區育樂路1~30號,10.79,其他,,,1070824,土地1建物1車位1,四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871117,134.26,3,2,2,有,有,4900000,36496,坡道機械,13.51,0,,RPXNMLMJIINFFCE18CA
前鎮區,房地(土地+建物),高雄市前鎮區復興三路97巷1~30號,31.17,住,,,1070908,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740719,97.59,3,2,2,有,無,3300000,33815,,0.0,0,含增建或未登記建物。,RPPPMLMJIINFFCE57CA
前鎮區,房地(土地+建物),高雄市前鎮區長江街61~90號,26.23,住,,,1070915,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850117,165.14999999999998,3,2,2,有,有,6600000,39964,,0.0,0,,RPSNMLNJIINFFCE77CA
苓雅區,房地(土地+建物),高雄市苓雅區中正一路121巷4弄1~30號,35.6,住,,,1070816,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680109,103.37,3,2,2,有,無,3800000,36761,,0.0,0,,RPVNMLTLIINFFBE78CA
