鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
埔鹽鄉,土地,三省段331~360地號,938.09,,特定農業區,農牧用地,1070120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3798500,4049,,0.0,0,,RPPNMLOJIINFFHN98CA
埔心鄉,土地,梧鳳段1141~1170地號,89.11,,,,1070808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,269500,3024,,0.0,0,,RPPNMLPJIINFFHN09CA
芳苑鄉,土地,芳墘段1111~1140地號,418.88,,一般農業區,農牧用地,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,1432,,0.0,0,,RPPNMLPJIINFFGN98CA
芳苑鄉,土地,王功段61~90地號,266.69,,一般農業區,農牧用地,1070919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,70000,262,,0.0,0,以法院拍定價格買回,RPPNMLTJIINFFGN76CA
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮崙子腳路91~120號,111.88,住,,,1070719,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0871210,203.19,6,2,3,有,無,4380000,21556,,0.0,0,,RPPNMLLKIINFFHN78CA
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮青雅路121~150號,97.0,住,,,1070913,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0671117,178.21,4,1,2,有,無,4300000,24129,,0.0,0,含建物未保存登記,RPRNMLSJIINFFHN96CA
秀水鄉,土地,西興段1981~2010地號,114.0,其他,,,1070916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3448500,30250,,0.0,0,,RPQOMLNJIINFFAN48DA
秀水鄉,土地,西興段1981~2010地號,110.0,其他,,,1070916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3327500,30250,,0.0,0,,RPROMLNJIINFFAN58DA
彰化市,土地,新莿桐段931~960地號,284.07,工,,,1070925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5255665,18501,,0.0,0,,RPXOMLNJIINFFAN56DA
芳苑鄉,土地,新湖段481~510地號,4228.67,,一般農業區,農牧用地,1070921,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,899,,0.0,0,,RPPNMLOJIINFFGN98DA
