鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
信義區,建物,臺北市信義區福德街221巷1~30號,0.0,住,,,1071002,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,106.89,3,2,2,有,無,有,24500,229,,0.0,0,本次租賃範圍不包含權狀內附屬建物之"瞭望台"面積,RPUOMLNJIINFFDA97CC
信義區,建物,臺北市信義區光復南路421~450號,0.0,商,,,1071002,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701231,35.85,1,1,1,有,有,有,18500,516,,0.0,0,,RPRPMLNJIINFFDA77CC
中正區,建物,臺北市中正區忠孝東路二段39巷2弄1~30號,0.0,商,,,1070930,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631219,141.62,3,2,1,有,無,有,40000,282,,0.0,0,,RPSNMLNJIINFFBA47CC
大同區,建物,臺北市大同區延平北路二段181~210號,0.0,其他,,,1070925,土地0建物1車位1,三層,18,辦公商業大樓,商業用,鋼筋混凝土造,0840213,499.46000000000004,0,0,0,無,有,無,140000,280,坡道平面,0.0,0,,RPOPMLNJIINFFBA27CC
萬華區,建物,臺北市萬華區環河南路二段211~240號,0.0,住,,,1070919,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720430,112.38,3,2,2,有,有,有,26000,231,,0.0,0,,RPRPMLNJIINFFBA57CC
士林區,建物,臺北市士林區中山北路六段754巷1~30號,0.0,住,,,1070919,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690703,121.87,3,2,2,有,無,有,32000,263,,0.0,0,,RPQNMLNJIINFFEA57CC
士林區,建物,臺北市士林區中山北路七段14巷1~30號,0.0,商,,,1070912,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711116,145.07999999999998,3,2,2,有,有,有,43000,296,,0.0,0,,RPTOMLNJIINFFEA97CC
北投區,建物,臺北市北投區中央北路三段53巷1~30號,689.0,商,,,1070912,土地0建物1車位0,全,7,透天厝,見其他登記事項,鋼筋混凝土造,1000331,2908.9,58,3,60,有,無,有,800000,275,,0.0,0,,RPSPMLNJIINFFEA97CC
文山區,房地(土地+建物),臺北市文山區木柵路三段77巷1~30號,57.32,商,,,1071001,土地2建物1車位0,一層,9,店面(店鋪),商業用,鋼筋混凝土造,0790319,137.94,1,1,1,有,有,無,27000,196,,0.0,0,,RPSNMLNJIINFFAA37CC
中正區,建物,臺北市中正區羅斯福路二段61~90號,0.0,商,,,1070930,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0780701,155.59,3,1,1,有,無,無,52000,334,,0.0,0,,RPQOMLOJIINFFAA37CC
